"document","comment_id","type","start","end"
"NDY-003","1","compliment","0","11"
"NDY-003","1","compliment","48","71"
"NDY-003","2","positive feedback","0","12"
"NDY-003","3","positive feedback","0","31"
"NDY-003","4","positive feedback","0","23"
"NDY-003","4","compliment","28","68"
"NDY-003","4","positive feedback","74","100"
"NDY-003","4","positive feedback","101","115"
"NDY-003","5","positive feedback","0","18"
"NDY-003","7","affection declaration","11","45"
"NDY-003","8","positive feedback","0","24"
"NDY-003","10","positive feedback","0","22"
"NDY-003","10","positive feedback","23","69"
"NDY-003","12","positive feedback","0","21"
"NDY-003","13","positive feedback","0","16"
"NDY-003","13","compliment","32","57"
"NDY-003","15","compliment","0","38"
"NDY-003","15","encouragement","39","52"
"NDY-003","16","positive feedback","0","20"
"NDY-003","17","implicit","0","94"
"NDY-003","17","compliment","95","107"
"NDY-003","18","positive feedback","0","31"
"NDY-003","18","encouragement","34","61"
"NDY-003","19","positive feedback","0","35"
"NDY-003","20","compliment","35","66"
"NDY-003","21","positive feedback","0","21"
"NDY-003","24","positive feedback","17","44"
"NDY-003","25","positive feedback","0","8"
"NDY-003","28","compliment","0","79"
"NDY-003","28","encouragement","80","95"
"NDY-003","29","positive feedback","0","33"
"NDY-003","29","implicit","34","98"
"NDY-003","29","positive feedback","99","152"
"NDY-003","30","positive feedback","0","9"
"NDY-003","31","compliment","0","7"
"NDY-003","31","positive feedback","10","21"
"NDY-003","32","positive feedback","0","34"
"NDY-003","33","positive feedback","0","74"
"NDY-003","33","compliment","0","74"
"NDY-003","34","positive feedback","0","30"
"NDY-003","36","positive feedback","0","22"
"NDY-003","36","positive feedback","23","65"
"NDY-003","36","affection declaration","66","101"
"NDY-003","36","compliment","106","122"
"NDY-003","36","encouragement","125","182"
"NDY-003","36","affection declaration","183","197"
"NDY-003","37","positive feedback","0","17"
"NDY-003","37","encouragement","18","30"
"NDY-003","38","positive feedback","0","46"
"NDY-003","40","positive feedback","0","15"
"NDY-003","41","positive feedback","17","58"
"NDY-003","45","affection declaration","0","85"
"NDY-003","49","affection declaration","0","41"
"NDY-003","50","positive feedback","0","18"
"NDY-003","51","positive feedback","71","83"
"NDY-003","52","positive feedback","0","4"
"NDY-003","53","positive feedback","77","104"
"NDY-003","56","affection declaration","0","32"
"NDY-003","57","compliment","0","37"
"NDY-003","57","positive feedback","0","37"
"NDY-003","58","positive feedback","0","65"
"NDY-003","63","agreement","13","15"
"NDY-003","63","agreement","18","42"
"NDY-003","69","affection declaration","0","41"
"NDY-003","70","compliment","0","19"
"NDY-003","71","affection declaration","0","17"
"NDY-003","75","positive feedback","0","26"
"NDY-003","75","affection declaration","27","59"
"NDY-003","76","affection declaration","24","59"
"NDY-003","76","group membership","60","86"
"NDY-003","76","positive feedback","135","173"
"NDY-003","76","affection declaration","176","204"
"NDY-003","76","positive feedback","209","248"
"NDY-003","76","positive feedback","251","286"
"NDY-003","76","affection declaration","342","353"
"NDY-003","77","compliment","11","41"
"NDY-003","77","compliment","44","116"
"NDY-003","77","encouragement","119","131"
"NDY-003","80","positive feedback","0","26"
"NDY-003","84","positive feedback","58","79"
"NDY-003","85","ambiguous","0","3"
"NDY-003","87","positive feedback","0","7"
"NDY-003","88","positive feedback","0","51"
"NDY-003","88","affection declaration","52","79"
"NDY-003","90","affection declaration","0","7"
"NDY-003","90","positive feedback","8","26"
"NDY-003","90","positive feedback","27","57"
"NDY-003","91","compliment","12","52"
"NDY-003","91","affection declaration","59","154"
"NDY-003","91","affection declaration","155","166"
"NDY-003","92","positive feedback","29","30"
"NDY-003","92","positive feedback","64","71"
"NDY-003","93","affection declaration","0","19"
"NDY-003","93","positive feedback","20","61"
"NDY-003","93","affection declaration","62","83"
"NDY-003","96","positive feedback","64","69"
"NDY-003","96","positive feedback","91","112"
"NDY-003","97","encouragement","0","67"
"NDY-003","99","positive feedback","4","41"
"NDY-003","99","encouragement","42","57"
"NDY-003","100","positive feedback","0","11"
"NDY-003","101","positive feedback","0","67"
"NDY-003","101","positive feedback","68","97"
"NDY-003","101","compliment","102","139"
"NDY-003","101","encouragement","142","204"
"NDY-003","102","encouragement","0","40"
"NDY-003","103","positive feedback","0","97"
"NDY-003","104","affection declaration","102","130"
"NDY-003","107","positive feedback","0","16"
"NDY-003","108","positive feedback","0","10"
"NDY-003","108","encouragement","46","66"
"NDY-003","111","positive feedback","0","79"
"NDY-003","111","positive feedback","67","79"
"NDY-003","115","positive feedback","0","8"
"NDY-003","117","compliment","74","86"
"NDY-003","118","compliment","82","109"
"NDY-003","121","positive feedback","0","13"
"NDY-003","121","affection declaration","14","42"
"NDY-003","121","encouragement","43","54"
"NDY-003","123","positive feedback","0","6"
"NDY-003","127","positive feedback","74","85"
"NDY-003","127","affection declaration","86","103"
"NDY-003","129","positive feedback","43","67"
"NDY-003","130","positive feedback","0","38"
"NDY-003","130","affection declaration","43","64"
"NDY-003","132","affection declaration","0","18"
"NDY-003","132","implicit","19","62"
"NDY-003","132","affection declaration","63","102"
"NDY-003","132","compliment","63","102"
"NDY-003","133","affection declaration","0","23"
"NDY-003","135","affection declaration","0","26"
"NDY-003","137","implicit","9","86"
"NDY-003","142","positive feedback","5","30"
"NDY-003","143","compliment","0","10"
"NDY-003","144","positive feedback","0","29"
"NDY-003","145","compliment","0","18"
"NDY-003","145","positive feedback","194","267"
"NDY-003","147","positive feedback","144","163"
"NDY-003","148","positive feedback","0","14"
"NDY-003","150","positive feedback","0","23"
"NDY-003","150","positive feedback","24","39"
"NDY-003","152","encouragement","0","22"
"NDY-003","153","encouragement","92","117"
"NDY-003","163","encouragement","131","146"
"NDY-003","163","affection declaration","147","161"
"NDY-003","164","positive feedback","32","40"
"NDY-003","166","affection declaration","0","15"
"NDY-003","168","affection declaration","33","55"
"NDY-003","169","affection declaration","20","37"
"NDY-003","170","positive feedback","3","6"
"NDY-003","174","affection declaration","0","18"
"NDY-003","183","positive feedback","0","6"
"NDY-003","192","compliment","100","139"
"NDY-003","192","positive feedback","145","167"
"NDY-003","193","positive feedback","129","190"
"NDY-003","195","positive feedback","0","25"
"NDY-003","195","positive feedback","26","64"
"NDY-003","196","positive feedback","0","31"
"NDY-003","196","positive feedback","32","100"
"NDY-003","196","positive feedback","101","120"
"NDY-003","198","compliment","23","38"
"NDY-003","202","compliment","123","149"
"NDY-003","203","positive feedback","0","13"
"NDY-003","203","positive feedback","14","56"
"NDY-003","205","positive feedback","49","109"
"NDY-003","205","encouragement","157","172"
"NDY-003","206","compliment","0","59"
"NDY-003","206","positive feedback","128","201"
"NDY-003","214","positive feedback","32","45"
"NDY-003","215","compliment","55","76"
"NDY-003","218","positive feedback","12","57"
"NDY-003","218","positive feedback","58","86"
"NDY-003","220","positive feedback","0","28"
"NDY-003","220","compliment","29","38"
"NDY-003","224","affection declaration","17","32"
"NDY-003","227","positive feedback","0","44"
"NDY-003","228","compliment","0","40"
"NDY-003","228","compliment","43","72"
"NDY-003","228","positive feedback","75","86"
"NDY-003","233","compliment","0","28"
"NDY-003","235","implicit","61","106"
"NDY-003","237","positive feedback","0","16"
"NDY-003","237","positive feedback","17","63"
"NDY-003","238","compliment","0","20"
"NDY-003","244","positive feedback","0","58"
"NDY-003","244","positive feedback","59","64"
"NDY-003","248","positive feedback","67","93"
"NDY-003","249","positive feedback","81","153"
"NDY-003","250","affection declaration","151","190"
"NDY-003","252","affection declaration","0","37"
"NDY-003","253","affection declaration","18","51"
"NDY-003","255","positive feedback","0","42"
"NDY-003","255","encouragement","43","63"
"NDY-003","255","compliment","64","102"
"NDY-003","255","positive feedback","103","122"
"NDY-003","258","compliment","0","12"
"NDY-003","259","compliment","0","18"
"NDY-003","259","positive feedback","23","187"
"NDY-003","259","positive feedback","190","208"
"NDY-003","263","positive feedback","19","31"
"NDY-003","267","compliment","0","40"
"NDY-003","267","positive feedback","43","63"
"NDY-003","270","positive feedback","0","46"
"NDY-003","271","encouragement","0","26"
"NDY-003","275","affection declaration","0","24"
"NDY-003","275","affection declaration","25","40"
